12.96 0.02 26.27 2.22
12.76 0.04 28.70 3.75
12.98 0.02 25.17 2.03
12.35 0.09 25.08 7.40
12.73 0.03 16.95 1.95
12.09 0.16 26.13 13.68
13.08 0.02 14.74 0.84
12.00 0.16 18.81 10.24
13.16 0.02 23.57 1.33
13.39 0.01 28.51 1.11
13.64 0.01 30.16 0.82
14.89 0.14 27.59 1.51
12.36 0.09 27.41 8.15
13.10 0.02 24.68 1.55
14.17 0.02 30.80 0.65
13.10 0.02 25.29 1.60
12.15 0.14 26.06 12.05
14.31 0.02 34.87 0.76
12.73 0.04 29.33 4.08
14.42 0.03 36.26 0.89
14.45 0.03 35.36 0.93
13.83 0.01 33.51 0.73
12.76 0.04 28.61 3.74
12.26 0.08 14.77 4.23
14.25 0.04 23.73 0.74
12.10 0.13 17.50 7.42
12.58 0.06 30.28 5.88
12.81 0.03 28.88 3.44
12.49 0.07 29.18 6.79
13.48 0.01 19.55 0.64
14.75 0.11 26.40 1.33
12.32 0.07 11.52 2.65
12.10 0.15 25.81 13.18
14.37 0.06 24.55 0.89
14.52 0.04 34.99 1.05
12.80 0.03 22.14 2.44
12.10 0.17 30.99 16.91
12.08 0.16 26.13 13.90
12.30 0.09 20.73 6.31
12.95 0.02 26.44 2.26
14.56 0.05 36.53 1.10
12.24 0.08 12.87 3.61
12.76 0.04 25.36 3.15
14.85 0.09 38.05 1.51
13.35 0.01 32.30 1.39
12.14 0.12 17.28 6.79
12.11 0.11 13.84 5.38
12.25 0.11 27.05 10.15
12.22 0.12 28.73 11.70
12.22 0.12 26.31 10.41
14.75 0.08 35.72 1.37
14.97 0.12 35.60 1.66
12.25 0.09 16.53 5.06
13.15 0.02 29.86 1.83
13.08 0.02 31.46 2.22
13.88 0.01 25.47 0.57
12.07 0.15 22.12 11.29
12.95 0.02 22.23 1.81
13.42 0.01 18.67 0.66
13.67 0.01 30.70 0.80
12.40 0.07 24.08 6.16
12.03 0.17 22.48 12.45
12.23 0.10 19.24 6.59
14.60 0.09 24.86 1.16
12.18 0.11 17.95 6.59
14.32 0.04 26.13 0.82
12.33 0.07 12.31 2.86
14.54 0.06 32.03 1.09
12.26 0.10 24.42 8.60
12.37 0.08 24.29 6.77
